"",BD_ID1,BD_ID2,BD_ID3,BD_ID4,BD_ID5,BD_ID6,BD_ID7,BD_ID8,BD_ID9,BD_ID10,BD_ID11,CTR_ID1,CTR_ID2,CTR_ID3,CTR_ID4,CTR_ID5,CTR_ID6,CTR_ID7,CTR_ID8,CTR_ID9,CTR_ID10,CTR_ID11,CTR_ID12,CTR_ID13,CTR_ID14,CTR_ID15,MDD_ID1,MDD_ID2,MDD_ID3,MDD_ID4,MDD_ID5,MDD_ID6,MDD_ID7,MDD_ID8,MDD_ID9,MDD_ID10,MDD_ID11,SCZ_ID1,SCZ_ID2,SCZ_ID3,SCZ_ID4,SCZ_ID5,SCZ_ID6,SCZ_ID7,SCZ_ID8,SCZ_ID9,SCZ_ID10,SCZ_ID11,SCZ_ID12,SCZ_ID13
MYCN,4.607594,4.845562,4.845607,4.79849,4.889965,4.773009,4.889841,4.864479,5.035263,5.60758,4.808042,3.921,3.718815,3.828739,3.859831,3.973698,3.798824,3.87404,4.037391,3.827744,3.936129,3.667734,3.788074,3.862352,4.157874,3.807227,4.269993,3.983043,4.12093,3.733302,4.412085,3.916541,4.235446,4.161425,4.021951,3.783375,4.349624,3.819387,3.68268,3.59328,4.325731,4.130402,3.448772,3.795654,3.769104,3.496385,3.965058,3.763152,3.635428,3.734456
JUND,10.875169,10.570389,10.650483,10.651593,10.71827,10.543366,10.546296,10.700694,11.071335,11.361713,10.411506,10.723564,10.856282,10.675924,10.795306,10.700071,10.922106,10.854806,10.96403,10.824856,10.940078,10.881685,10.831634,10.817591,10.717102,10.787377,10.907789,11.021294,11.006043,11.114974,10.799223,10.815288,10.739595,10.840367,10.935508,11.093893,10.83315,10.77961,10.75297,10.880606,10.752116,10.539849,10.418113,10.575995,10.636495,10.742231,10.660584,10.875155,10.767744,10.836233
IRF5,4.975864,5.14014,5.045701,5.182881,5.10435,5.074048,5.362347,5.022314,4.876071,5.246265,4.945106,6.056679,5.965077,6.020708,5.898135,6.346962,6.062528,6.141433,6.00049,5.832509,5.913803,6.019345,5.854694,5.863336,5.848606,5.973703,5.237282,5.194066,5.085029,5.229447,5.384514,5.265829,5.351522,5.266609,5.461319,5.192321,5.403338,5.221356,5.307965,5.023833,5.23854,5.424956,4.834834,5.393734,5.15188,4.999142,5.509587,5.094724,5.13135,5.17195
HIPK3,4.409498,4.217679,4.278865,4.403001,4.46182,4.258297,4.593432,4.236264,4.485167,4.347833,4.237188,5.783401,5.708196,5.87178,5.593749,5.628015,6.066881,5.77928,5.749444,5.586686,5.632591,5.655154,5.56562,5.526159,5.442142,5.602325,5.868138,5.981706,5.753287,6.167255,5.270212,5.642268,5.608213,5.708367,6.078222,5.901402,5.726735,5.793545,5.536873,5.632539,5.689545,5.833026,5.22621,5.664774,5.654982,5.557347,6.005749,5.707009,5.608391,5.644931
DSP,3.798876,3.303816,3.104857,2.946955,3.235759,3.309939,3.351432,3.120521,3.43025,3.099067,3.321535,3.376549,3.68622,3.601061,3.327598,3.361247,3.338148,3.560786,3.309301,3.461062,3.249348,3.913587,3.238962,3.650565,3.418211,3.449241,3.706043,3.624847,3.452445,3.58861,3.357257,3.502787,3.819861,3.754158,3.455808,3.240229,3.448198,3.269343,3.871085,3.451424,3.145234,3.475756,3.658594,3.407105,3.424672,3.925572,3.373552,3.385409,3.633993,3.424655
BRD1,5.882573,5.472478,5.241512,6.059304,5.611894,5.414886,5.753882,5.595844,6.058885,5.941288,5.555235,5.882736,6.058542,5.943057,6.065662,5.662651,5.988511,6.127817,6.073522,6.024587,5.952898,5.971433,5.932677,5.820537,5.948444,6.078028,5.898728,5.77144,5.702369,6.218579,5.471655,5.66352,5.513949,5.720105,5.80389,5.925447,5.111673,5.807219,6.309534,5.879356,5.977273,6.061815,6.073512,5.658764,5.692349,5.928708,5.565851,5.737554,5.998637,5.821158
ERCC8,5.117972,5.079073,4.907679,5.133679,4.954415,5.126386,5.226441,5.033848,5.211663,5.019871,5.004615,4.754669,4.810123,4.844544,4.825576,4.975845,4.934469,4.980679,4.938252,4.577108,4.809843,4.726439,4.776157,4.745231,4.740024,4.807895,5.096614,5.109788,5.002616,4.885163,4.848918,5.005611,5.150742,5.012598,5.10476,5.136262,4.895106,4.93284,4.719391,4.849374,4.846189,4.632425,4.825847,4.988396,4.856531,4.730862,4.968048,4.740313,4.89873,4.781369
ZNF134,3.963734,4.095394,4.481188,3.914602,4.023788,4.34554,4.224736,4.200083,3.88102,4.287649,4.119323,4.275889,4.105203,4.060843,3.944167,4.154144,3.943847,3.857497,3.877631,4.145751,3.766776,3.699225,3.756766,3.883539,3.886145,4.177459,4.127249,4.052077,3.906089,4.082357,4.227595,3.970637,4.077493,4.124893,4.043229,4.068844,4.321407,4.016998,3.892469,3.997861,4.246827,4.187343,3.766787,3.861487,4.037464,3.962027,4.309438,3.928036,4.162431,4.06175
EPAS1,5.114323,4.892558,4.875623,4.874595,5.072222,4.953984,4.926561,4.867028,5.499076,4.919813,4.943404,7.217021,7.183311,7.157217,7.157007,7.260504,7.371494,7.196851,7.215364,7.128083,7.126685,7.183233,7.183217,7.157651,7.260017,7.180225,4.869474,5.082594,5.115885,5.479402,4.813196,5.035847,4.981601,5.118834,5.03489,5.065289,4.985388,7.313424,6.790698,7.065101,7.182178,7.280877,6.759586,7.156391,7.077914,6.94584,7.457065,7.309899,7.121232,7.11245
PASK,3.963241,4.577544,4.402537,4.098066,4.713879,4.591052,4.543832,4.777249,4.199891,4.17537,4.250571,4.25526,4.706494,4.757197,4.319762,4.796936,4.69701,4.276851,4.260381,4.548323,4.51328,4.612732,4.652701,4.560355,4.545128,4.43028,4.586861,4.737244,4.814342,4.049079,4.958668,4.796957,4.907483,4.701082,4.197075,4.540599,4.956447,4.644316,4.704366,4.732583,4.281697,4.192395,4.976159,4.72197,4.541139,4.436909,4.254328,4.373963,4.423107,4.630869
CALCOCO1,8.01466,8.624966,8.588171,8.12454,8.504952,8.594586,8.36745,8.624468,8.333341,8.157686,8.435553,8.357611,8.60455,8.544048,8.62867,8.387688,8.660519,8.531547,8.718515,8.645319,8.655887,8.646011,8.609943,8.645155,8.740742,8.584771,8.517245,8.604904,8.627843,8.402843,8.854191,8.657868,8.656157,8.5808,8.623247,8.562393,8.458653,8.280816,8.498085,8.578466,8.251235,8.485413,8.406182,8.389105,8.343783,8.61418,8.316811,8.543274,8.504014,8.406229
MDFI,3.329241,3.416646,3.390998,3.937031,3.403674,3.531016,3.739198,3.551401,3.76569,3.239384,3.630983,3.452051,3.637037,3.762576,3.38504,3.481949,3.581479,3.184627,3.522177,3.457301,3.526,3.054319,3.207014,3.426563,3.643171,3.458012,3.366916,2.953153,3.239758,3.654775,3.213473,3.104114,3.345334,3.172143,3.645572,3.309731,3.382575,3.491441,3.730039,3.436825,3.298727,3.659455,3.045821,3.532509,3.424146,3.102705,3.210503,3.304177,3.163448,3.430164
TTLL5,5.362151,5.255722,5.474358,5.496377,5.524926,5.481654,5.591436,5.510192,5.548875,5.252444,5.417686,4.94477,5.385497,5.604178,5.333285,5.209785,5.25037,5.100092,5.539742,5.44243,5.215841,5.448475,5.365354,5.178346,5.259611,5.307018,5.614605,5.442781,5.819071,5.779606,5.672486,5.48393,5.338972,5.683697,5.521873,5.609614,5.575002,5.471268,5.613602,5.528376,5.372169,5.42012,5.531067,5.503122,5.487593,5.626779,5.641205,5.549007,5.62216,5.528019
ACVRL1,4.847311,4.783221,4.834987,4.920641,4.855906,4.84029,4.928073,4.765151,5.073649,4.551567,4.757323,5.098717,5.049118,5.505068,5.099218,5.082223,5.325646,4.980492,5.068802,5.070358,5.152472,5.300808,5.098154,5.060208,5.202638,5.096397,4.844395,5.215493,5.10136,5.624204,5.058059,5.064093,4.912973,4.960098,5.292182,5.095805,5.106693,4.596463,4.818197,4.581595,4.754755,5.080807,4.817209,4.698115,4.620292,4.699322,4.812894,4.999753,4.680295,4.785435
CRIP1,4.436898,4.605356,5.159117,4.530068,5.159146,4.720928,4.612238,5.110733,5.545161,4.615047,5.230906,4.62872,5.434322,4.869983,4.44864,5.28026,4.639345,5.077004,5.249085,4.864655,4.900489,4.895376,4.704835,4.883623,4.893589,4.98598,4.480983,5.777262,4.953521,6.142184,5.726892,5.180479,5.056254,5.757875,5.071715,5.046988,5.35256,4.926042,4.783465,5.049778,4.953997,4.941546,5.516636,4.923187,4.813629,5.086619,5.181642,5.022964,5.17628,4.857444
SMARCE1,6.44635,6.691319,6.653848,6.692214,6.751279,6.796429,6.699821,6.680346,7.01335,7.163805,6.952797,6.658163,6.768323,6.960558,7.128903,7.055788,7.247612,7.172745,7.351842,7.133241,7.121726,7.151847,6.903097,6.945146,7.099928,7.124466,6.647694,6.830541,6.935644,6.850827,6.723835,6.887038,7.113807,7.219124,6.891935,7.132744,6.813066,6.86766,6.885776,7.033552,6.883939,6.684902,7.010837,6.751358,6.879291,6.707852,6.899266,6.978872,6.9652,6.867857
ZFR2,6.458862,6.437779,6.498941,6.588852,6.397564,6.259461,6.508948,6.734492,6.62605,6.147269,6.093291,6.445,6.534847,6.412698,6.564907,6.509892,6.521807,6.483547,6.366572,6.55549,6.475029,6.526533,6.510188,6.311554,6.504506,6.408749,6.8943,6.709231,6.792361,7.043409,7.088776,6.421816,6.559272,6.417743,6.554494,6.374635,6.671114,6.475004,6.992625,6.701051,6.758552,6.156974,6.636049,6.475028,6.294722,6.872489,6.285421,6.284043,6.327831,6.402718
SNAPC1,3.699246,3.79994,4.098515,3.721296,3.926814,4.007867,3.928025,4.126401,3.743082,3.477881,3.997064,3.613329,3.269567,3.941061,3.648895,3.716841,3.442736,3.397551,3.569816,3.630809,3.588326,3.574774,3.549479,3.544262,3.77487,3.650233,4.581929,3.470703,3.470967,4.120625,3.648847,3.549773,3.76313,3.776841,3.726314,3.580655,3.638855,3.842165,3.633292,3.561719,3.14861,3.31649,3.632337,3.506403,3.681517,3.68357,3.825195,3.620471,3.572838,3.710497
NFKBIL1,6.532139,6.397739,6.489392,6.708142,6.478985,6.487623,6.537909,6.609718,6.491815,6.678201,6.460358,6.617055,6.637868,6.666012,6.664807,6.737241,6.712509,6.735167,6.767337,6.603136,6.682536,6.745747,6.616092,6.639274,6.593696,6.683519,6.685459,6.669522,6.614668,6.950504,6.541808,6.67773,6.644015,6.709819,6.654303,6.680782,6.527623,6.589412,6.45817,6.500979,6.832359,6.694356,6.275493,6.61522,6.212078,6.710477,6.364396,6.66311,6.685145,6.505377
CRTC1,8.687968,8.908407,8.89074,8.979536,9.105457,8.978633,9.045286,9.161926,8.917969,9.210073,8.900829,8.855813,8.932772,9.092185,9.159948,9.11874,9.309767,9.33139,8.895802,9.116588,9.147379,9.259115,9.173445,9.186652,9.055213,9.184514,8.814457,9.315412,9.149451,9.09942,9.076916,9.072425,9.181924,9.24211,9.182361,9.344888,9.379922,8.951541,8.988387,9.065149,8.771839,8.76299,9.169598,8.968029,8.908689,9.454924,9.197741,9.146611,9.305903,9.072551
GTF3C2,5.532026,5.811675,5.557739,5.780503,5.5761,5.547148,5.689543,5.6245,5.667078,5.55204,5.699565,5.601528,5.625846,5.698793,5.573394,5.779632,5.665736,5.770576,5.66932,5.702464,5.875412,5.845868,5.785734,5.657817,5.743101,5.733934,5.865259,5.702943,5.932626,5.221951,6.108462,5.797511,6.023724,5.817784,5.556892,5.945319,5.93575,5.646571,5.902911,5.642686,5.415634,5.719922,6.076217,5.724666,5.739312,5.633576,5.604644,5.660451,5.71312,5.931407
LOC155060,6.660834,6.800574,6.756482,6.693192,6.763041,6.753712,6.484284,7.033857,6.671549,6.54255,6.377587,6.587027,6.624225,6.766998,6.653145,6.780864,6.428428,6.654109,6.774129,7.167906,7.117112,7.00114,6.857004,6.493238,6.976532,6.832621,7.007336,6.994707,7.12961,6.758572,7.403614,6.958594,6.937192,6.910771,6.783175,6.794377,6.599583,6.490628,7.190852,6.690379,6.676918,6.515774,7.217521,6.609317,6.617052,7.001985,6.425914,6.805278,6.776261,6.782019
VPS4B,2.848341,2.967616,2.799966,2.663344,2.518178,2.666582,2.968954,2.737957,2.742778,2.582172,2.873977,3.150224,3.429505,3.04406,2.813383,2.760043,2.812889,2.937535,2.813329,2.854697,2.788113,3.236548,2.638353,3.155082,3.040211,2.939371,3.047759,2.861311,2.631327,2.740996,2.504871,3.107353,3.276824,2.914095,2.847433,2.891971,2.93756,2.902499,2.761791,2.861565,3.111938,2.823997,2.934064,2.980926,2.923438,3.060552,2.773802,2.842718,2.711743,2.955303
ZFYVE26,4.341669,4.577839,4.817282,4.445941,4.643617,4.557742,4.522621,4.480062,4.694404,4.372633,4.745655,4.371684,4.365726,4.789361,4.286006,4.536187,4.246756,4.317907,4.520484,4.458067,4.558546,4.280968,4.20256,4.314362,4.345404,4.534651,4.505534,4.556037,4.889507,4.819201,5.017691,4.786778,4.586414,4.691266,4.616986,4.66284,4.670267,4.621586,4.751273,4.548688,4.65565,4.565075,4.495925,4.477747,4.705605,4.451999,4.812053,4.454599,4.368121,4.538366
RNF114,5.410402,5.850568,5.518432,5.484793,5.545741,5.789766,5.418736,5.478797,5.891887,6.018821,6.191353,5.2175,5.571636,5.030152,5.436455,5.130977,4.998571,5.153279,5.668658,5.696468,5.260114,5.249676,5.446799,5.601694,5.475404,5.550199,5.77459,5.54594,5.657841,5.470461,6.151075,5.527934,5.776661,5.598136,5.452631,5.624183,5.400502,5.255701,5.43647,5.410735,5.855075,5.731894,5.866254,5.279676,5.505435,5.325899,4.847001,5.383058,5.374894,5.307785
PLXND1,7.174805,7.227466,7.414343,7.033806,7.477805,7.317094,7.450688,7.273618,7.496445,6.619554,7.41535,7.129721,7.050498,7.232516,7.362383,7.284542,7.250484,7.341023,7.545255,7.540802,7.423464,7.325561,7.3309,7.225916,7.355954,7.353265,7.767071,7.286187,7.728903,7.957509,8.036515,7.35673,7.335171,7.594273,7.540634,7.493218,7.516167,7.01189,7.9153,7.317125,7.330428,7.141759,7.08911,7.169192,7.01041,7.640736,7.007491,7.28026,7.167662,7.428984
PPP1R10,7.326077,7.224109,7.110737,7.174485,7.212352,7.067709,7.068276,7.116942,7.308782,7.186173,7.207215,7.20349,7.300414,7.294583,7.144601,7.46194,7.418401,7.157387,7.331406,7.276433,7.310059,7.319537,7.221254,7.11569,7.227909,7.204004,7.451091,7.243773,7.399821,7.277492,7.257172,7.230225,7.265855,7.332603,7.195179,7.467598,7.296571,7.221192,7.496401,7.236619,7.167665,7.070038,6.981253,7.119623,7.131013,7.263968,7.134924,7.033035,7.098203,7.313923
ZNF7,5.459105,5.220703,5.083644,5.309109,5.291869,5.132122,5.357408,5.261478,5.29009,5.263947,5.363964,5.285016,5.278867,5.330412,5.284587,5.350485,5.588327,5.425664,5.333296,5.282058,5.296559,5.265763,5.29179,5.244027,5.229375,5.233029,5.452324,5.48879,5.264039,5.561127,5.429335,5.430375,5.36983,5.583315,5.274989,5.323705,5.348137,5.069291,5.209784,5.110932,5.323622,5.272423,5.541566,5.325993,5.225915,5.340607,5.389779,5.274223,5.06486,5.055491
HIC2,6.658736,6.692048,6.767526,6.341886,6.938098,6.73099,6.719235,6.968326,6.715134,6.354921,6.719355,6.741743,6.535188,7.015686,6.978146,7.014748,6.758629,6.723477,6.569771,7.042433,6.750586,6.694354,6.754463,6.563775,6.841871,6.763197,6.692985,6.931518,6.945877,7.165541,7.211913,6.772549,6.679685,6.942334,6.789544,6.96119,6.92915,6.79805,7.121185,6.875807,6.648861,6.550148,7.022776,6.78745,6.899276,7.108813,6.970967,6.802902,6.896988,6.884998
CBX6,9.875979,9.968151,9.9983,10.055577,10.050709,9.929774,10.058886,9.996357,9.686511,10.002338,9.933952,10.067236,10.193438,10.094765,9.974362,10.26175,9.833485,9.973691,9.841123,10.031588,10.20799,10.085529,10.104622,10.018078,9.956187,10.005253,10.097553,10.139821,10.390758,9.958336,10.078443,10.106913,10.270938,10.273744,9.850528,10.105807,10.388732,10.112817,10.289954,10.274119,10.118912,9.448156,10.389411,10.232223,10.144405,10.419069,10.102937,10.209164,10.126864,10.140645
ZBTB11,4.42321,5.04567,4.898963,4.882565,4.821206,4.916423,4.551593,4.852818,4.711026,4.846169,5.101021,5.047936,5.020704,4.938064,4.883271,5.146517,4.961221,4.938738,5.094791,5.139393,5.346469,5.1687,5.072991,5.234366,5.335557,5.016219,5.024931,4.917888,5.230046,4.859361,5.627243,5.134905,5.319602,5.448526,4.822292,5.204157,5.628102,4.806454,5.073121,4.90962,4.270123,4.110879,5.212491,4.897047,5.096782,5.066911,4.906007,4.896033,5.040555,5.122069
WWOX,7.176052,7.51897,7.721877,7.701004,7.644862,7.717096,7.428808,7.661984,8.156706,7.493053,7.849905,7.257012,7.209881,7.644767,7.35619,7.243658,7.500417,7.138076,7.288695,7.544772,7.429245,7.532607,7.580128,7.439516,7.511139,7.640978,7.505267,7.393708,7.629318,7.781852,7.520011,7.549866,7.351101,7.566115,7.52868,7.71012,7.424503,7.218417,7.436062,7.612336,7.421674,7.622945,7.368232,7.051573,7.399625,7.633217,6.992366,7.56058,7.310334,7.448283
NPAT,4.781803,5.326874,5.129409,4.920078,5.003316,5.231933,5.123399,4.937964,5.147791,4.996988,5.00972,5.253082,5.08373,4.807367,5.343372,5.157673,5.205946,5.053509,5.143113,5.06284,5.216455,5.26309,4.896024,5.079569,5.115104,5.118294,5.40706,5.045356,5.14924,5.030139,5.278755,5.199051,5.382647,5.536125,5.29745,5.158708,5.308774,5.106167,4.979157,5.039196,4.99145,5.073275,4.823647,5.109356,5.238597,5.11704,5.166825,5.004456,5.107911,5.218823
CHMP1A,8.47588,8.451566,8.710924,8.693071,8.80862,8.620152,8.679128,8.582389,8.712709,8.542634,8.657591,8.61555,8.615523,8.828842,8.597304,8.815266,8.519455,8.66617,8.700903,8.691516,8.774663,8.677712,8.692291,8.71678,8.661384,8.697404,8.893638,8.706997,8.881639,9.107995,8.874583,8.737649,8.702691,8.73855,8.695357,8.816956,8.737993,8.400371,8.86019,8.713463,8.761763,8.700527,8.726301,8.742952,8.593712,8.660166,8.603944,8.571258,8.741918,8.642898
ACVR1B,7.445716,6.976212,6.799042,7.087708,7.142038,6.921786,7.109283,7.01739,7.226093,7.068954,7.02909,9.492565,9.383549,9.921774,9.637837,9.372793,9.70577,9.640567,9.164182,9.929386,9.942579,9.665935,9.843902,9.656846,9.785417,9.722407,9.193011,9.648122,9.937202,9.29475,10.260869,9.769962,9.732445,10.187234,9.410844,10.059609,9.686092,8.501168,8.591583,8.410845,8.379323,8.590132,8.32754,8.424187,8.109357,8.418189,8.034341,8.476673,8.44952,8.541014
EIF5B,4.005064,4.079942,4.016225,3.951461,4.087639,4.042642,4.082849,3.894148,4.003717,3.96166,4.058209,4.458385,4.277815,4.320596,4.099121,4.366763,4.263338,3.988481,4.062471,4.289354,4.478094,4.084182,4.29014,4.281632,4.305696,4.326505,4.284796,3.911712,3.984667,4.242196,4.077173,4.027496,3.86431,3.930464,4.032886,4.098373,4.154549,3.963049,4.341491,3.994906,3.920241,4.165789,4.169141,3.987538,4.112969,3.935064,4.133724,3.889535,3.894165,3.946668
EP400,5.046708,5.146757,4.738402,4.822541,4.908574,4.960647,4.970717,5.005011,4.77862,4.833642,4.920967,5.000133,5.055318,4.864086,4.955589,4.952757,5.159399,5.078413,4.853364,4.924304,5.234799,5.017677,5.072295,4.900647,5.007451,5.081584,5.024065,5.197092,5.03791,4.89613,5.183987,5.27645,5.466506,5.273061,5.08903,5.358139,5.203596,4.952538,4.961512,4.932618,4.819551,4.669977,5.180205,4.901418,5.018524,5.069602,4.824581,5.052189,5.04724,4.979719
FRY,5.127288,5.081648,4.837512,4.780169,5.052539,5.174642,5.128217,5.01404,4.75861,4.600637,4.987511,6.237459,6.092429,6.010909,5.808563,5.929925,5.589241,5.857481,5.566991,6.004674,6.227422,5.94715,6.037205,5.850496,5.877383,6.072328,5.841372,5.973629,6.049548,5.51294,6.267821,6.081606,6.231764,6.126989,5.725108,6.072958,6.25588,5.68712,5.906411,5.964288,5.409579,5.00127,6.254344,5.98555,6.136,6.127736,5.834961,6.009091,6.079939,6.041219
HOXA11,4.638221,4.802722,4.562277,4.993438,4.774238,4.704575,4.924236,4.622743,4.814314,4.583241,4.829071,5.806088,5.808627,5.892662,5.889282,6.070817,6.200022,5.996405,5.975032,5.898115,5.666208,5.76083,5.630992,5.760664,5.788024,5.675588,4.840923,4.959257,4.88451,5.172281,4.547419,4.757038,4.602307,4.772061,4.973456,4.897845,4.931639,4.716204,4.648105,4.721361,4.681578,5.054841,4.415066,4.916745,4.864102,4.592358,4.972683,4.662946,4.6086,4.740922
MAX,6.238238,6.265919,5.99384,6.002919,6.074472,6.318784,6.287666,6.099809,6.355103,6.337097,5.970198,5.226039,5.625979,5.194085,5.026751,4.898212,5.174452,5.784067,5.630545,5.287693,5.138203,5.263636,5.304926,5.78172,5.603262,5.909985,5.776074,6.174681,5.974053,6.215861,5.665982,6.29684,6.369374,6.308782,6.143165,6.203686,5.859425,5.316159,4.87177,5.528171,5.056207,5.332843,5.010699,4.902315,4.720356,4.948291,5.023318,5.531802,5.466862,5.375387
METTL3,6.338167,6.335233,6.704189,6.30576,6.362332,6.595012,6.412629,6.602291,6.611601,5.923507,6.84291,6.422266,6.408866,6.824828,6.75552,6.764526,6.575284,6.664522,6.868229,6.772713,6.666829,6.559745,6.634281,6.658056,6.902675,6.797563,6.420954,6.45854,6.775091,6.360047,6.995223,6.652706,6.757176,6.553424,6.669247,6.513285,6.70984,6.447834,6.449831,6.316968,6.531224,6.5416,6.798064,6.467094,6.555687,6.566735,6.471928,6.477907,6.632299,6.493439
MYBL1,3.040038,2.853198,2.703827,3.135789,2.906713,2.766222,3.076701,2.988874,2.950261,2.98485,3.106496,3.023826,3.024631,2.946417,2.999541,3.252526,2.953758,3.415949,3.403281,3.067355,3.026507,3.042623,3.014488,2.940754,3.138665,3.060619,3.184253,2.984603,2.91184,2.801295,2.930708,2.97327,2.933,2.964998,2.966949,2.901222,2.917878,2.797375,3.226528,2.971119,3.135335,3.183347,3.162076,3.088456,3.127626,3.176011,3.045683,3.086411,2.898008,3.113412
NFAT5,6.036972,5.255936,5.393447,5.853961,5.742913,5.319864,5.734323,5.453816,6.082492,5.228974,5.255347,6.831169,7.955149,7.997368,7.572183,6.460551,7.507598,7.487703,7.891059,7.298319,7.229687,7.553613,7.622313,7.451919,7.510564,7.315266,7.116411,7.996403,7.726945,8.858291,6.940653,7.393643,7.311855,7.260091,7.602532,7.76539,6.267274,7.622873,7.025869,7.41175,7.763355,8.379056,7.085002,7.067181,6.501777,7.368216,6.688492,7.620663,7.292393,7.453859
NR2C1,4.682063,4.937135,4.724275,4.813688,4.809531,4.651442,4.920491,4.860899,4.843332,5.042888,4.902379,4.323569,4.364915,4.243802,4.264251,4.34455,4.461993,4.329736,4.30241,4.454092,4.47737,4.40949,4.378256,4.169619,4.378409,4.369658,4.398815,4.515911,4.485491,4.266821,4.685699,4.537576,4.41604,4.506179,4.464216,4.6068,4.453197,4.105838,4.312651,4.225152,4.158645,4.183576,4.44884,4.110655,4.310293,4.299058,4.202779,4.254921,4.137808,4.126967
PCGF2,7.224701,7.137664,7.163793,7.270606,7.123269,7.145933,7.30072,7.253971,7.31538,7.335176,7.139843,8.837986,8.723582,8.626415,8.671252,8.778608,8.96867,8.725876,8.53977,8.779979,8.77717,8.681137,8.625112,8.584076,8.669992,8.512811,7.32546,7.381714,7.225268,7.187756,7.255501,7.269994,7.151903,7.284658,7.168976,7.23742,7.198701,7.23842,7.566706,7.392806,7.231086,7.130518,7.317719,7.235649,7.402816,7.416908,7.217034,7.300878,7.183342,7.265853
PMS2P3,4.886148,5.112831,4.917987,4.84742,4.672976,4.938421,4.820908,5.165403,4.832986,5.222699,4.835741,4.898289,5.034836,4.692515,4.765865,4.744857,4.676328,4.908354,4.874273,4.879272,4.794855,4.813793,4.829515,5.119168,4.818657,4.928507,5.111543,5.116263,5.026699,5.022473,5.223229,5.191309,5.181158,4.934178,5.081046,4.976508,5.066487,4.962093,4.702569,4.853598,4.64713,4.753853,5.101908,4.920035,4.765412,4.899955,4.90909,4.844444,4.914472,4.830871
POU6F1,5.421649,5.135731,5.109416,5.136407,5.107314,5.1542,5.348953,5.333068,5.215599,5.313349,5.123792,5.290487,5.337664,5.291747,5.281265,5.242574,5.356803,5.474923,5.26583,5.210615,5.319686,5.400039,5.287605,5.448485,5.388818,5.451562,5.145848,5.501038,5.283099,5.473515,4.949525,5.470493,5.628333,5.480595,5.304181,5.362897,5.431986,5.049868,5.176344,5.372988,5.246956,5.126754,5.331709,5.338707,5.234497,5.240241,5.225715,5.413049,5.450681,5.276738
PRDM2,6.965929,6.872399,6.848303,6.703463,6.900299,6.755905,6.785886,6.73761,6.829622,6.831831,7.034502,6.738927,6.87695,6.865542,6.862375,6.555936,6.806074,6.728373,6.938379,6.81917,6.829855,6.84748,6.840974,6.663875,6.774078,6.819978,6.856391,6.70357,6.94803,6.760358,6.901794,6.849915,6.680858,6.722595,6.925442,7.053282,6.523949,6.759083,6.823633,6.765269,6.812569,6.896903,6.786087,6.61333,6.647489,6.727972,6.492545,6.780757,6.628344,6.688003
RBCK1,7.003585,7.025657,7.185346,7.149687,7.154369,7.214098,7.000691,7.220854,7.295459,6.856674,7.300992,6.99331,6.998118,7.304502,7.139355,7.245653,7.121373,7.062608,7.251298,7.367971,7.186872,7.347876,7.215498,7.034029,7.161792,7.172874,7.420197,7.172931,7.199132,7.534091,7.437981,7.148003,7.141802,7.352062,7.216332,7.186258,7.183925,6.993604,7.340743,7.139235,7.060645,7.202359,7.098273,6.879389,7.064096,7.166106,7.010136,7.092082,6.976282,7.033523
REL,3.56723,3.529285,3.298663,3.566642,3.528702,3.266009,3.613649,3.408977,3.587307,3.564998,3.359579,3.441262,3.504335,3.303974,3.432721,3.351641,3.607992,3.558841,3.374823,3.302801,3.312405,3.553635,3.336333,3.328611,3.22947,3.364012,3.650619,3.800264,3.67195,3.754209,3.403395,3.584238,3.526328,3.591512,3.611741,3.768641,3.512421,3.413448,3.431936,3.428807,3.418129,3.534903,3.326532,3.578041,3.383596,3.477012,3.326922,3.503098,3.404898,3.330817
